accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_i,quat_j,quat_k,quat_real,distance,top1,top2,top3,top4,btm1,btm2,btm3,btm4,btm5,label,,,,
-8.95703125,2.38671875,0.03515625,0.04296875,0.126953125,0.142578125,0.309082031,0.636779785,-0.135192871,0.69329834,484.6,94.862,209.78,110.277,111.651,72.692,198.859,193.895,144.534,94.731,0,,,,
-8.95703125,2.38671875,0.03515625,0.04296875,0.126953125,0.142578125,0.309082031,0.636779785,-0.135192871,0.69329834,455.6,94.862,209.78,110.277,111.651,72.692,198.859,193.895,144.534,94.731,0,,,,
-7.0390625,2.00390625,-0.69140625,0.283203125,0.265625,-0.025390625,0.318664551,0.637756348,-0.136779785,0.687744141,444.8,75.342,158.837,71.756,110.923,74.916,293.618,348.201,152.204,95.275,0,,,,
-7.0390625,2.00390625,-0.69140625,0.283203125,0.265625,-0.025390625,0.318664551,0.637756348,-0.136779785,0.687744141,425.7,75.342,158.837,71.756,110.923,74.916,293.618,348.201,152.204,95.275,0,,,,
-9.4140625,2.578125,-0.0390625,0.107421875,0.033203125,0.005859375,0.310974121,0.642272949,-0.13092041,0.688232422,415.7,133.682,230.924,109.394,107.002,132.533,140.674,112.215,500,92.752,0,,,,
-8.9140625,2.1171875,0.41796875,0.015625,0.1640625,0.16796875,0.317260742,0.643615723,-0.132202148,0.683776855,415.6,133.682,230.924,109.394,107.002,132.533,140.674,112.215,500,92.752,0,,,,
-9.07421875,2.34765625,-0.421875,0.05078125,0.0390625,0.1328125,0.341552734,0.634521484,-0.145874023,0.67779541,404.2,165.301,188.244,500,374.721,130.55,273.746,222.917,473.95,27.718,0,,,,
-9.07421875,2.34765625,-0.421875,0.05078125,0.0390625,0.1328125,0.341552734,0.634521484,-0.145874023,0.67779541,399.7,165.301,188.244,500,374.721,130.55,273.746,222.917,473.95,27.718,0,,,,
-8.95703125,2.8828125,0.07421875,-0.02734375,-0.099609375,-0.037109375,0.342102051,0.630432129,-0.140380859,0.682495117,500,165.301,188.244,500,374.721,130.55,273.746,222.917,473.95,27.718,0,,,,
-8.95703125,2.8828125,0.07421875,-0.02734375,-0.099609375,-0.037109375,0.342102051,0.630432129,-0.140380859,0.682495117,500,165.301,188.244,500,374.721,130.55,273.746,222.917,473.95,27.718,0,,,,
-8.875,2.30859375,-0.1171875,-0.001953125,0.02734375,0.08984375,0.346679688,0.631713867,-0.144592285,0.678100586,500,140.216,313.163,266.771,404.484,135.694,294.105,275.222,500,81.156,0,,,,
-8.875,2.30859375,-0.1171875,-0.001953125,0.02734375,0.08984375,0.346679688,0.631713867,-0.144592285,0.678100586,348.8,140.216,313.163,266.771,404.484,135.694,294.105,275.222,500,81.156,0,,,,
-10.44921875,2.9609375,-1.07421875,-0.103515625,-0.1328125,-0.158203125,0.363342285,0.619140625,-0.172119141,0.674560547,328.7,132.128,131.114,500,426.221,98.644,262.486,138.707,134.855,90.094,0,,,,
-10.44921875,2.9609375,-1.07421875,-0.103515625,-0.1328125,-0.158203125,0.363342285,0.619140625,-0.172119141,0.674560547,319.1,132.128,131.114,500,426.221,98.644,262.486,138.707,134.855,90.094,0,,,,
-9.1484375,2.5,0.7265625,-0.1328125,0.140625,0.1796875,0.345825195,0.624023438,-0.161987305,0.681762695,300.8,132.128,131.114,500,426.221,98.644,262.486,138.707,134.855,90.094,0,,,,
-7.30859375,2.42578125,-0.8828125,0.15625,-0.244140625,-0.052734375,0.372680664,0.619628906,-0.18145752,0.666503906,277.3,133.138,232.432,498.855,408.054,133.526,206.411,197.66,500,154.011,0,,,,
-7.30859375,2.42578125,-0.8828125,0.15625,-0.244140625,-0.052734375,0.372680664,0.619628906,-0.18145752,0.666503906,274,133.138,232.432,498.855,408.054,133.526,206.411,197.66,500,154.011,0,,,,
-7.30859375,2.42578125,-0.8828125,0.15625,-0.244140625,-0.052734375,0.372680664,0.619628906,-0.18145752,0.666503906,271.4,133.138,232.432,498.855,408.054,133.526,206.411,197.66,500,154.011,0,,,,
-7.30859375,2.42578125,-0.8828125,0.15625,-0.244140625,-0.052734375,0.372680664,0.619628906,-0.18145752,0.666503906,268.8,133.138,232.432,498.855,408.054,133.526,206.411,197.66,500,154.011,0,,,,
-10.4453125,3,-1.11328125,-0.185546875,0.037109375,0.017578125,0.358520508,0.61895752,-0.181396484,0.674865723,438,137.223,469.706,129.94,418.529,133.956,160.472,99.756,85.139,91.382,0,,,,
-10.4453125,3,-1.11328125,-0.185546875,0.037109375,0.017578125,0.358520508,0.61895752,-0.181396484,0.674865723,404.5,137.223,469.706,129.94,418.529,133.956,160.472,99.756,85.139,91.382,0,,,,
-8.875,2.5390625,0.15234375,0.068359375,0.01171875,0.072265625,0.376586914,0.616699219,-0.173278809,0.669189453,402.8,234.64,136.327,500,127.193,133.032,168.891,224.901,431.013,87.78,0,,,,
-8.875,2.234375,-1.83984375,0.17578125,0.025390625,0.228515625,0.38848877,0.611633301,-0.19921875,0.659790039,397.8,234.64,136.327,500,127.193,133.032,168.891,224.901,431.013,87.78,0,,,,
-8.65234375,2.38671875,0.34375,-0.046875,0.1015625,0.1015625,0.355407715,0.616333008,-0.168518066,0.682250977,397.8,2.433,72.766,146.472,348.16,135.706,130.341,193.224,384.048,88.683,0,,,,
-8.65234375,2.38671875,0.34375,-0.046875,0.1015625,0.1015625,0.355407715,0.616333008,-0.168518066,0.682250977,384.9,2.433,72.766,146.472,348.16,135.706,130.341,193.224,384.048,88.683,0,,,,
-9.53125,2.38671875,-0.38671875,0.17578125,-0.005859375,-0.078125,0.359130859,0.617797852,-0.168884277,0.678833008,371.5,105.685,57.641,62.875,330.455,133.252,106.119,251.139,361.24,90.2,0,,,,
-9.53125,2.38671875,-0.38671875,0.17578125,-0.005859375,-0.078125,0.359130859,0.617797852,-0.168884277,0.678833008,366.4,105.685,57.641,62.875,330.455,133.252,106.119,251.139,361.24,90.2,0,,,,
-8.453125,2.30859375,-0.8828125,-0.072265625,-0.00390625,0.08203125,0.388183594,0.62298584,-0.179443359,0.654968262,347.3,89.293,124.903,238.194,132.831,76.912,112.73,120.92,231.222,87.641,0,,,,
-8.453125,2.30859375,-0.8828125,-0.072265625,-0.00390625,0.08203125,0.388183594,0.62298584,-0.179443359,0.654968262,323.4,89.293,124.903,238.194,132.831,76.912,112.73,120.92,231.222,87.641,0,,,,
-7.4609375,2.15625,0.41796875,-0.18359375,-0.3125,-0.29296875,0.348022461,0.629333496,-0.148193359,0.678833008,312.1,89.293,124.903,238.194,132.831,76.912,112.73,120.92,231.222,87.641,0,,,,
-7.4609375,2.15625,0.41796875,-0.18359375,-0.3125,-0.29296875,0.348022461,0.629333496,-0.148193359,0.678833008,280.7,89.293,124.903,238.194,132.831,76.912,112.73,120.92,231.222,87.641,0,,,,
